Reference,Pin,X_panel_mm,Y_panel_mm,Drill_mm_or_slot_xy,Type
J101,1,28.27,38.0,1.0,thru_hole
J101,2,25.73,38.0,1.0,thru_hole
J102,1,137.35,22.0,1.0,thru_hole
J102,2,134.81,22.0,1.0,thru_hole
J102,3,132.27,22.0,1.0,thru_hole
J102,4,129.73,22.0,1.0,thru_hole
J102,5,127.19,22.0,1.0,thru_hole
J102,6,124.65,22.0,1.0,thru_hole
J103,1,123.27,16.0,1.0,thru_hole
J103,2,120.73,16.0,1.0,thru_hole
J104,1,146.27,16.0,1.0,thru_hole
J104,2,143.73,16.0,1.0,thru_hole
J105,1,144.54,59.0,1.0,thru_hole
J105,2,142.0,59.0,1.0,thru_hole
J105,3,139.46,59.0,1.0,thru_hole
J106,1,44.54,69.0,1.0,thru_hole
J106,2,42.0,69.0,1.0,thru_hole
J106,3,39.46,69.0,1.0,thru_hole
J107,1,82.54,66.0,1.0,thru_hole
J107,2,80.0,66.0,1.0,thru_hole
J107,3,77.46,66.0,1.0,thru_hole
J108,1,120.54,66.0,1.0,thru_hole
J108,2,118.0,66.0,1.0,thru_hole
J108,3,115.46,66.0,1.0,thru_hole
J109,1,57.08,56.0,1.0,thru_hole
J109,2,54.54,56.0,1.0,thru_hole
J109,3,52.0,56.0,1.0,thru_hole
J109,4,49.46,56.0,1.0,thru_hole
J109,5,46.92,56.0,1.0,thru_hole
J110,1,147.54,70.0,1.0,thru_hole
J110,2,145.0,70.0,1.0,thru_hole
J110,3,142.46,70.0,1.0,thru_hole
J111,1,130.08,99.0,1.0,thru_hole
J111,2,127.54,99.0,1.0,thru_hole
J111,3,125.0,99.0,1.0,thru_hole
J111,4,122.46,99.0,1.0,thru_hole
J111,5,119.92,99.0,1.0,thru_hole
J112,1,165.27,95.0,1.0,thru_hole
J112,2,162.73,95.0,1.0,thru_hole
J113,1,164.27,81.0,1.0,thru_hole
J113,2,161.73,81.0,1.0,thru_hole
J114,1,165.27,54.0,1.0,thru_hole
J114,2,162.73,54.0,1.0,thru_hole
J115,1,58.77,33.0,1.0,thru_hole
J115,2,56.23,33.0,1.0,thru_hole
RV1,1,39.5,77.0,1.0,thru_hole
RV1,2,42.0,77.0,1.0,thru_hole
RV1,3,44.5,77.0,1.0,thru_hole
RV1,MP1,36.7,84.0,"[1.8, 2.2]",thru_hole
RV1,MP2,47.3,84.0,"[1.8, 2.2]",thru_hole
RV2,1,77.5,77.0,1.0,thru_hole
RV2,2,80.0,77.0,1.0,thru_hole
RV2,3,82.5,77.0,1.0,thru_hole
