Stack,Panel_connector,Mainboard_connector,Physical_pin,Net,Panel_X_mm,Panel_Y_mm,Main_X_mm,Main_Y_mm,Note
A,J100,J17,1,GND,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,2,VIN5,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,3,VIN5,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,4,VREF25,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,5,GND,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,6,POT_PITCH_RAW,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,7,POT_DECAY_RAW,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,8,POT_TIMBRE_RAW,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,9,POT_DRIVE_RAW,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,10,POT_DELAY_RAW,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,11,POT_REVERB_RAW,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,12,GND,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,13,PITCH_IN,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,14,MOD_IN,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,15,GATE_IN,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,16,GND,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,17,LINE_L,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,18,GND,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,19,LINE_R,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
A,J100,J17,20,GND,124.0,61.75,36.0,-2.5,Direct board-to-board mating site; no cable harness
B,J101,J18,1,GND,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,2,V3V3,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,3,GND,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,4,ENC_A_RAW,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,5,ENC_B_RAW,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,6,ENC_SW_RAW,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,7,cv_select,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,8,LED0_A,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,9,LED1_A,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,10,LED2_A,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,11,LED3_A,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,12,GND,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,13,MIDI4,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,14,MIDI5,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,15,PROGRAM_B,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,16,reset_n,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,17,JTAG_TCK,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,18,JTAG_TDO,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,19,JTAG_TDI,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
B,J101,J18,20,JTAG_TMS,43.0,72.25,-45.0,8.0,Direct board-to-board mating site; no cable harness
