Reference,Value,Manufacturer,MPN_or_selection_gate,Footprint,Side,X_panel_mm,Y_panel_mm,DNP,Notes
J100,IPS1-110-01-L-D,Samtec,IPS1-110-01-L-D,RadianPanel:Stack_2x10_P2.54,B,124.0,61.75,False,Direct mezzanine A; Samtec IPS1 socket mates mainboard IPT1-110-06-L-D. Fully-mated PCB gap 19.99 mm; max 20.45 mm. Use ~20.0 mm standoffs and bench-verify seating before production quantity.
J101,IPS1-110-01-L-D,Samtec,IPS1-110-01-L-D,RadianPanel:Stack_2x10_P2.54,B,43.0,72.25,False,Direct mezzanine B; Samtec IPS1 socket mates mainboard IPT1-110-06-L-D. Fully-mated PCB gap 19.99 mm; max 20.45 mm. Use ~20.0 mm standoffs and bench-verify seating before production quantity.
RV1,10k linear / TENSION,Bourns,PTV09A-4020F-B103,RadianPanel:Bourns_PTV09A4_RearFacing,F,38.0,96.0,False,"Pin 1 CCW/GND, pin 3 CW/VREF25: verify direction on physical sample. No added wiper RC. Mount tabs soldered, electrically NC."
RV2,10k linear / DECAY,Bourns,PTV09A-4020F-B103,RadianPanel:Bourns_PTV09A4_RearFacing,F,76.0,96.0,False,"Pin 1 CCW/GND, pin 3 CW/VREF25: verify direction on physical sample. No added wiper RC. Mount tabs soldered, electrically NC."
RV3,10k linear / CHAOS,Bourns,PTV09A-4020F-B103,RadianPanel:Bourns_PTV09A4_RearFacing,F,114.0,96.0,False,"Pin 1 CCW/GND, pin 3 CW/VREF25: verify direction on physical sample. No added wiper RC. Mount tabs soldered, electrically NC."
RV4,10k linear / DRIVE,Bourns,PTV09A-4020F-B103,RadianPanel:Bourns_PTV09A4_RearFacing,F,66.0,70.0,False,"Pin 1 CCW/GND, pin 3 CW/VREF25: verify direction on physical sample. No added wiper RC. Mount tabs soldered, electrically NC."
RV5,10k linear / DELAY,Bourns,PTV09A-4020F-B103,RadianPanel:Bourns_PTV09A4_RearFacing,F,88.0,70.0,False,"Pin 1 CCW/GND, pin 3 CW/VREF25: verify direction on physical sample. No added wiper RC. Mount tabs soldered, electrically NC."
RV6,10k linear / REVERB,Bourns,PTV09A-4020F-B103,RadianPanel:Bourns_PTV09A4_RearFacing,F,110.0,70.0,False,"Pin 1 CCW/GND, pin 3 CW/VREF25: verify direction on physical sample. No added wiper RC. Mount tabs soldered, electrically NC."
ENC1,24 PPR / PUSH,Bourns,PEC11R-4220F-S0024,RadianPanel:Bourns_PEC11R4_RearFacing_Switch,F,42.0,43.0,False,20 mm shaft / 7 mm bushing replaces proposed 15 mm shaft part to accommodate common PCB plane. Check encoder direction and nut stack.
SW1,MODE / SPDT ON-ON,E-Switch,100SP1T1B1M2REH,RadianPanel:E_Switch_100SP_M2,F,150.5,84.5,False,"Gold contact option for low-level logic. ST110001 mechanical M2 pattern, 4.7 mm pitch. R contact selection from manufacturer configurator; purchase/stack validation required."
D10,VOICE 1,Kingbright,L-934GD,RadianPanel:LED_D3.0_P2.54,F,124.0,108.0,False,"3 mm LED, anode pad 2, cathode pad 1. Mainboard already has series resistor. Set flange height with assembly jig; envelope is not seated LED height."
D11,VOICE 2,Kingbright,L-934GD,RadianPanel:LED_D3.0_P2.54,F,134.0,108.0,False,"3 mm LED, anode pad 2, cathode pad 1. Mainboard already has series resistor. Set flange height with assembly jig; envelope is not seated LED height."
D12,VOICE 3,Kingbright,L-934GD,RadianPanel:LED_D3.0_P2.54,F,144.0,108.0,False,"3 mm LED, anode pad 2, cathode pad 1. Mainboard already has series resistor. Set flange height with assembly jig; envelope is not seated LED height."
D13,VOICE 4,Kingbright,L-934GD,RadianPanel:LED_D3.0_P2.54,F,154.0,108.0,False,"3 mm LED, anode pad 2, cathode pad 1. Mainboard already has series resistor. Set flange height with assembly jig; envelope is not seated LED height."
J301,PITCH 0-5V,QingPu / Thonk,WQP518MA (Thonkiconn/PJ398SM),RadianPanel:WQP518MA_PJ398SM_Vertical,F,186.5,99.0,False,"Vertical mono, grounded normal for inputs only. Sleeve=1, switched contact=2, tip=3. Imported supplier dimension drawing needs sample fit check."
