Ref,Val,Package,PosX,PosY,Rot,Side
"J100","IPS1-110-01-L-D","Stack_2x10_P2.54",124.000000,-66.750000,180.000000,bottom
"J101","IPS1-110-01-L-D","Stack_2x10_P2.54",43.000000,-56.250000,-90.000000,bottom
"J200","61201021621","Wurth_61201021621_Exact_B",174.000000,-64.500000,180.000000,bottom
"J201","22-27-2021","Molex_22-27-2021_J201_B",26.000000,-76.500000,180.000000,bottom
"J202","22-27-2061","Molex_22-27-2061_J202_B",131.000000,-99.500000,180.000000,bottom
"J306","22-27-2021","Molex_22-27-2021_J306_B",57.500000,-89.500000,180.000000,bottom
"JP1","450301014042","Wurth_450301014042_Exact_B",165.500000,-40.500000,180.000000,bottom
"SW3","PROGRAM / SERVICE","SW_PUSH_6x6_P6.5x4.5",118.400000,-103.500000,180.000000,bottom
"SW4","RESET / SERVICE","SW_PUSH_6x6_P6.5x4.5",146.000000,-102.500000,180.000000,bottom
"TP1","GND","TestPoint_D2",25.000000,-86.500000,180.000000,bottom
"TP2","VIN5","TestPoint_D2",29.000000,-86.500000,180.000000,bottom
"TP3","VRAW","TestPoint_D2",48.000000,-69.500000,180.000000,bottom
"TP4","VREF25","TestPoint_D2",149.000000,-66.500000,180.000000,bottom
"TP5","MOD_BIPOLAR","TestPoint_D2",165.000000,-67.500000,180.000000,bottom
"C1","10uF","C_1210",31.000000,-110.500000,0.000000,top
"C2","100nF","C_0603",32.000000,-107.000000,-90.000000,top
"C3","100nF","C_0603",34.000000,-99.500000,0.000000,top
"C4","22uF","C_1210",23.000000,-95.500000,90.000000,top
"C5","22uF","C_1210",29.000000,-95.500000,90.000000,top
"C6","75pF","C_0603",43.000000,-101.500000,0.000000,top
"C7","10uF","C_1210",43.000000,-69.500000,0.000000,top
"C20","100nF","C_0603",157.000000,-59.500000,0.000000,top
"C21","1uF","C_0805",149.000000,-54.500000,0.000000,top
"D1","SS54 / OR","D_SMB",44.000000,-63.500000,0.000000,top
"D2","SS54 / OR","D_SMB",35.000000,-69.500000,0.000000,top
"D3","SMBJ15A","D_SMB",25.000000,-82.500000,0.000000,top
"D4","BAT54S","SOT23_BAT54S",166.000000,-63.500000,0.000000,top
"D10","VOICE 1","LED_D3.0_P2.54",124.000000,-20.500000,0.000000,top
"D11","VOICE 2","LED_D3.0_P2.54",134.000000,-20.500000,0.000000,top
"D12","VOICE 3","LED_D3.0_P2.54",144.000000,-20.500000,0.000000,top
"D13","VOICE 4","LED_D3.0_P2.54",154.000000,-20.500000,0.000000,top
"ENC1","24 PPR / PUSH","Bourns_PEC11R4_RearFacing_Switch",42.000000,-85.500000,0.000000,top
"F1","2A FUSE / >=32V","Fuse_1206",53.000000,-63.500000,0.000000,top
"F2","2A FUSE / >=32V","Fuse_1206",26.000000,-69.500000,0.000000,top
"J301","PITCH 0-5V","WQP518MA_PJ398SM_Vertical",186.500000,-29.500000,0.000000,top
"J302","MOD","WQP518MA_PJ398SM_Vertical",186.500000,-47.500000,0.000000,top
"J303","GATE","WQP518MA_PJ398SM_Vertical",186.500000,-65.500000,0.000000,top
"J304","LINE L","WQP518MA_PJ398SM_Vertical",186.500000,-83.500000,0.000000,top
"J305","LINE R","WQP518MA_PJ398SM_Vertical",186.500000,-101.500000,0.000000,top
"L1","10uH 4A / Isat7.5A","Bourns_SRP7050TA",26.000000,-103.500000,0.000000,top
"R1","100k","R_0603",39.500000,-101.500000,0.000000,top
"R2","13.3k","R_0603",39.000000,-108.500000,0.000000,top
"R3","511k","R_0603",46.000000,-105.500000,90.000000,top
"R4","105k","R_0603",43.000000,-109.500000,0.000000,top
"R5","49.9","R_0603",39.000000,-96.500000,0.000000,top
"R20","200k","R_0603",164.000000,-53.500000,0.000000,top
"R21","100k","R_0603",158.000000,-53.500000,0.000000,top
"R22","200k","R_0603",164.000000,-57.500000,0.000000,top
"R23","10k","R_0603",159.500000,-71.500000,0.000000,top
"R24","10k","R_0603",163.000000,-69.500000,0.000000,top
"RV1","10k linear / TENSION","Bourns_PTV09A4_RearFacing",38.000000,-32.500000,0.000000,top
"RV2","10k linear / DECAY","Bourns_PTV09A4_RearFacing",76.000000,-32.500000,0.000000,top
"RV3","10k linear / CHAOS","Bourns_PTV09A4_RearFacing",114.000000,-32.500000,0.000000,top
"RV4","10k linear / DRIVE","Bourns_PTV09A4_RearFacing",66.000000,-58.500000,0.000000,top
"RV5","10k linear / DELAY","Bourns_PTV09A4_RearFacing",88.000000,-58.500000,0.000000,top
"RV6","10k linear / REVERB","Bourns_PTV09A4_RearFacing",110.000000,-58.500000,0.000000,top
"SW1","MODE / SPDT ON-ON","E_Switch_100SP_M2",150.500000,-44.000000,0.000000,top
"U1","TPS54302DDCR","TI_DDC0006A_SOT23_6",34.000000,-103.500000,0.000000,top
"U2","OPA2192ID","SOIC8_3.9x4.9_P1.27",151.000000,-61.500000,0.000000,top
