Connector,Pin,Net,Purpose
J1,1,VIN5,"5 V DC input, externally fused"
J1,2,GND,"5 V DC input, externally fused"
J2,1,V3V3,"JTAG, to programmer"
J2,2,GND,"JTAG, to programmer"
J2,3,JTAG_TCK,"JTAG, to programmer"
J2,4,JTAG_TDO,"JTAG, to programmer"
J2,5,JTAG_TDI,"JTAG, to programmer"
J2,6,JTAG_TMS,"JTAG, to programmer"
J3,1,PROGRAM_B,"PROGRAM_B, momentary to GND forces reconfiguration"
J3,2,GND,"PROGRAM_B, momentary to GND forces reconfiguration"
J4,1,reset_n,"Reset, momentary to GND"
J4,2,GND,"Reset, momentary to GND"
J5,1,LINE_L,"Stereo line out, to panel jacks"
J5,2,GND,"Stereo line out, to panel jacks"
J5,3,LINE_R,"Stereo line out, to panel jacks"
J6,1,VREF25,"Pitch potentiometer, panel mounted"
J6,2,POT_PITCH_RAW,"Pitch potentiometer, panel mounted"
J6,3,GND,"Pitch potentiometer, panel mounted"
J7,1,VREF25,"Decay potentiometer, panel mounted"
J7,2,POT_DECAY_RAW,"Decay potentiometer, panel mounted"
J7,3,GND,"Decay potentiometer, panel mounted"
J8,1,VREF25,"Timbre potentiometer, panel mounted"
J8,2,POT_TIMBRE_RAW,"Timbre potentiometer, panel mounted"
J8,3,GND,"Timbre potentiometer, panel mounted"
J9,1,ENC_A_RAW,"Rotary encoder with switch, panel mounted"
J9,2,GND,"Rotary encoder with switch, panel mounted"
J9,3,ENC_B_RAW,"Rotary encoder with switch, panel mounted"
J9,4,ENC_SW_RAW,"Rotary encoder with switch, panel mounted"
J9,5,GND,"Rotary encoder with switch, panel mounted"
J10,1,V3V3,"Mode selector switch, panel mounted"
J10,2,cv_select,"Mode selector switch, panel mounted"
J10,3,GND,"Mode selector switch, panel mounted"
J11,1,GND,"Status LEDs x4, anodes -- series resistors are on-board"
J11,2,LED0_A,"Status LEDs x4, anodes -- series resistors are on-board"
J11,3,LED1_A,"Status LEDs x4, anodes -- series resistors are on-board"
J11,4,LED2_A,"Status LEDs x4, anodes -- series resistors are on-board"
J11,5,LED3_A,"Status LEDs x4, anodes -- series resistors are on-board"
J12,1,PITCH_IN,"Pitch CV input jack, 0-5 V"
J12,2,GND,"Pitch CV input jack, 0-5 V"
J13,1,MOD_IN,"Mod CV input jack, 0-5 V"
J13,2,GND,"Mod CV input jack, 0-5 V"
J14,1,GATE_IN,Gate input jack
J14,2,GND,Gate input jack
J15,1,MIDI4,"MIDI DIN socket, pins 4 and 5"
J15,2,MIDI5,"MIDI DIN socket, pins 4 and 5"
